무명
하쿠레이 레이무
무게츠(화려한 회화)
무게츠(화려한 전투)
렌코메리
플랑1
플랑3
플랑5
렌코메리


무녀 카센
메디슨(울음)














버스









여자 주인공
남자 주인공
